epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1274.47,0.59998,0.9018,0.83116,0.99567,0.9661,0.98712,0.7585,0.92209,1.06692,0.9202,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1318.3,0.59136,0.88038,0.82812,0.99614,0.9661,0.98925,0.74826,0.89925,1.08811,0.91912,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1369.78,0.52257,0.86386,0.81296,0.99591,0.9661,0.98892,0.73842,0.93016,1.05174,0.92001,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,1417.66,0.57345,0.83932,0.8143,0.99612,0.9661,0.98969,0.73259,0.92822,1.0514,0.91639,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,1462.65,0.52463,0.80813,0.80724,0.99595,0.9661,0.98736,0.73318,0.94689,1.03802,0.92727,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,1507.83,0.63785,0.82518,0.84027,0.99609,0.9661,0.98908,0.74875,0.90665,1.00689,0.92052,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,1557.28,0.54456,0.80036,0.82786,0.99577,0.9661,0.98923,0.74629,0.91225,1.01857,0.9123,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,1597.1,0.52889,0.79722,0.82505,0.99487,0.9661,0.99008,0.74519,0.92254,0.99004,0.91875,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,1636.01,0.48265,0.78568,0.81261,0.99435,0.9661,0.99029,0.7284,0.91588,0.99241,0.91041,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,1681.21,0.55229,0.79509,0.81321,0.9933,0.9661,0.98968,0.73028,0.88407,0.98239,0.90457,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,1739.15,0.48774,0.78267,0.79987,0.99525,0.9661,0.98965,0.72386,0.89844,0.98746,0.90849,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1786.81,0.48502,0.7488,0.81799,0.99712,0.9661,0.9892,0.73663,0.92595,0.97593,0.91344,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1830.59,0.50015,0.75659,0.82834,0.99628,0.9661,0.98849,0.7403,0.91701,0.95648,0.92025,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1869.48,0.50957,0.76292,0.81742,0.99874,0.9661,0.98962,0.75303,0.93493,0.95077,0.92024,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1920.14,0.50783,0.75822,0.81981,0.99977,0.9661,0.99137,0.74176,0.90992,0.9596,0.91237,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1963.8,0.46446,0.73547,0.80856,0.99643,0.9661,0.99118,0.74891,0.93379,0.91567,0.91941,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,2007.45,0.46736,0.71668,0.81325,0.99587,0.9661,0.9909,0.75426,0.91816,0.91729,0.91322,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,2050.94,0.44892,0.68977,0.79136,0.99527,0.9661,0.99104,0.74679,0.9198,0.90935,0.91051,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,2100.97,0.4145,0.69507,0.81648,0.99766,0.9661,0.99057,0.75603,0.91337,0.89601,0.90935,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,2141.52,0.41843,0.68938,0.78797,1,0.96234,0.98986,0.72881,0.92175,0.91944,0.90893,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,2182.17,0.40911,0.66573,0.81285,1,0.96097,0.98666,0.7307,0.93374,0.90853,0.91656,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,2223.26,0.45003,0.69724,0.81179,1,0.96193,0.98961,0.73868,0.92245,0.91722,0.91189,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,2274.12,0.44756,0.69601,0.79725,1,0.95807,0.98879,0.75329,0.87708,0.90395,0.90339,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,2318.41,0.41326,0.67614,0.81244,1,0.95213,0.98778,0.74783,0.90345,0.89348,0.90947,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,2362.06,0.39098,0.65252,0.79038,1,0.95025,0.9864,0.75016,0.8959,0.88855,0.90927,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,2405.91,0.39111,0.65047,0.79832,1,0.95662,0.98755,0.74579,0.87885,0.9034,0.90313,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,2454.64,0.37764,0.65769,0.7933,1,0.9521,0.98652,0.7464,0.87475,0.86627,0.90336,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,2493.27,0.36654,0.63748,0.794,1,0.95282,0.98334,0.74844,0.87957,0.85775,0.90463,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,2533.36,0.36985,0.63538,0.81815,1,0.95338,0.98433,0.7503,0.8732,0.857,0.90254,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,2572.65,0.37334,0.6433,0.80862,1,0.96014,0.98631,0.76588,0.8902,0.85781,0.90231,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,2613.59,0.41409,0.63702,0.7965,1,0.96317,0.98584,0.75493,0.88248,0.87515,0.90277,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,2655.41,0.36061,0.6167,0.76786,1,0.95719,0.98477,0.74822,0.89084,0.83281,0.90083,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,2697.18,0.3782,0.61594,0.81048,1,0.96305,0.98252,0.75191,0.88797,0.83664,0.90362,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,2738.97,0.34796,0.59479,0.78616,0.99931,0.9661,0.98598,0.75044,0.90457,0.82494,0.90717,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,2786.07,0.34251,0.5964,0.77695,0.99655,0.9661,0.98707,0.75896,0.8809,0.81436,0.89998,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,2825.33,0.34157,0.57892,0.78795,0.99651,0.9661,0.9894,0.75702,0.87986,0.81956,0.896,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,2865.94,0.34529,0.58634,0.80174,0.9967,0.9661,0.98955,0.75533,0.88157,0.84017,0.9007,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,2905.91,0.33804,0.58663,0.78936,0.99721,0.9661,0.99112,0.74352,0.89879,0.82615,0.90047,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,2945.32,0.39088,0.60711,0.78988,0.99664,0.9661,0.99112,0.75461,0.88898,0.79253,0.89795,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,2985.08,0.32326,0.58046,0.78303,0.99655,0.9661,0.99112,0.75786,0.8847,0.79496,0.90179,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,3024.03,0.37421,0.58137,0.78429,0.99622,0.9661,0.99121,0.74628,0.90048,0.80035,0.90112,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,3064.68,0.33782,0.56397,0.77581,0.99636,0.9661,0.99112,0.75809,0.87953,0.78824,0.89689,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,3112.6,0.32326,0.56873,0.79352,0.996,0.9661,0.99112,0.75628,0.87576,0.78364,0.89699,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,3151.36,0.31321,0.56913,0.77293,0.99541,0.9661,0.99104,0.75872,0.87904,0.78936,0.89618,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,3191.31,0.3145,0.54767,0.81936,0.99681,0.9661,0.99104,0.75795,0.87197,0.78441,0.89523,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,3231.48,0.31384,0.54871,0.7811,1,0.96243,0.99119,0.75162,0.87114,0.78383,0.89287,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,3287.8,0.31464,0.55631,0.79176,1,0.95798,0.99057,0.76645,0.85133,0.76625,0.89109,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,3331.96,0.29889,0.54626,0.78861,1,0.94899,0.98888,0.75544,0.87283,0.76388,0.89363,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,3372.89,0.30637,0.54802,0.79835,1,0.94897,0.98792,0.75611,0.87454,0.76404,0.89352,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,3413.83,0.31111,0.55299,0.77661,1,0.94865,0.9857,0.74972,0.89262,0.7678,0.89542,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,3459.48,0.29459,0.5342,0.80686,1,0.94842,0.98528,0.74702,0.88695,0.77003,0.89562,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,3499.08,0.29485,0.53427,0.78585,1,0.94837,0.98411,0.7631,0.86991,0.77222,0.89445,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,3540,0.30543,0.53323,0.7835,1,0.94839,0.98465,0.76301,0.86679,0.76966,0.89568,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,3581.96,0.29204,0.52863,0.78918,1,0.94864,0.98958,0.75956,0.87374,0.77582,0.89194,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,3631.8,0.30133,0.54328,0.7734,1,0.94882,0.98974,0.75183,0.87725,0.77137,0.8929,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,3671.57,0.29027,0.52518,0.78421,1,0.94904,0.99036,0.74979,0.88329,0.76585,0.89227,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,3714.2,0.28729,0.53349,0.78152,1,0.95227,0.99153,0.75542,0.87608,0.76324,0.89214,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,3757.32,0.27196,0.51436,0.81048,1,0.95169,0.99153,0.74676,0.87709,0.75551,0.8953,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,3807.8,0.27197,0.51958,0.7795,1,0.95223,0.99127,0.75583,0.86798,0.75286,0.89509,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,3850.61,0.27272,0.50846,0.7956,1,0.94908,0.99127,0.75269,0.86857,0.75395,0.89532,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,3893.76,0.28537,0.53267,0.79173,1,0.94895,0.99088,0.75042,0.87503,0.75638,0.89392,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,3936.19,0.28037,0.52538,0.77745,1,0.95049,0.99153,0.75376,0.87706,0.75163,0.89446,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,3982.48,0.27124,0.52014,0.79323,1,0.95308,0.99153,0.74614,0.88702,0.74788,0.89628,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,4021.07,0.27017,0.50949,0.79294,1,0.9495,0.99127,0.75157,0.8846,0.74598,0.8968,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,4060.17,0.26717,0.51281,0.77195,1,0.94913,0.99136,0.75007,0.88308,0.74507,0.89673,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,4099.28,0.25963,0.49933,0.79192,1,0.94909,0.99136,0.75298,0.88298,0.74318,0.8969,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,4138.01,0.2681,0.51738,0.77083,1,0.94895,0.99127,0.75156,0.88224,0.74824,0.89503,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,4177.94,0.25646,0.49734,0.79129,1,0.94897,0.99119,0.75293,0.88121,0.74832,0.89435,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,4216.72,0.261,0.50245,0.78287,1,0.94901,0.99136,0.74779,0.88559,0.74864,0.89536,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,4255.64,0.25659,0.5036,0.79141,1,0.94959,0.9919,0.7495,0.88674,0.74655,0.89551,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,4294.24,0.26084,0.50069,0.78216,1,0.94948,0.9919,0.75079,0.88539,0.74702,0.89537,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
