epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3535.54,0.77578,0.99324,0.85861,1,0.99638,0.995,0.75642,0.88787,1.0834,0.92448,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,3624.93,0.81834,0.98994,0.85681,1,0.99654,0.995,0.77167,0.8526,1.04779,0.92949,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,3709.98,0.73781,0.94702,0.84508,1,0.99678,0.995,0.76064,0.88327,1.04439,0.92774,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,3792.51,0.73907,0.90615,0.86277,1,0.99656,0.995,0.76738,0.86041,1.01515,0.92769,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,3879.64,0.77497,0.93841,0.85533,1,0.99643,0.995,0.7725,0.8764,1.02688,0.92457,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,3966.51,0.74253,0.95385,0.85529,1,0.99664,0.995,0.76073,0.85511,1.00548,0.91797,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,4042.54,0.7474,0.94515,0.85225,1,0.99674,0.995,0.76492,0.8962,1.01008,0.92534,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,4119.82,0.72271,0.92908,0.86334,1,0.99726,0.995,0.75947,0.88842,0.99581,0.92027,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,4197.17,0.73932,0.89738,0.85916,1,0.99742,0.995,0.77906,0.85057,0.98163,0.91495,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,4284.75,0.72678,0.91248,0.8636,1,0.998,0.995,0.77756,0.84157,0.97967,0.91242,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,4363.34,0.71015,1.20145,0.84863,1,0.99892,0.995,0.76688,0.85942,0.98769,0.91723,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,4444.54,0.69851,1.15959,0.83965,0.99976,1,0.995,0.76265,0.87406,0.98775,0.91778,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,4517.88,0.69254,1.17341,0.8528,0.99823,1,0.995,0.7632,0.85532,0.97809,0.91031,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,4599.66,0.71042,1.19839,0.86759,0.99744,1,0.995,0.76823,0.85072,0.97443,0.91218,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,4676.61,0.67222,1.18959,0.84723,0.99725,1,0.995,0.76808,0.84434,0.96159,0.91167,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,4760.21,0.68543,1.16458,0.85093,0.9974,1,0.995,0.76781,0.84545,0.96397,0.91157,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,4843.9,0.65942,1.11133,0.83824,0.99744,1,0.995,0.76855,0.84554,0.96504,0.913,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,4928.9,0.66558,1.11359,0.84327,0.99767,1,0.995,0.76732,0.84948,0.96071,0.91362,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,5008.05,0.67218,1.13279,0.84214,0.99769,1,0.995,0.76751,0.83627,0.94799,0.91475,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,5092.46,0.66112,1.11056,0.85359,0.99776,1,0.995,0.77105,0.83433,0.94369,0.9161,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
