epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2054.27,0.92208,0.59755,0.88385,1,0.97935,0.99483,0.72063,1.05812,0.54288,0.94972,0.005743,0.005743,0.005743
45,2099.68,0.8882,0.58394,0.8628,0.9965,1,0.995,0.72576,1.00024,0.55603,0.94219,0.005644,0.005644,0.005644
46,2146.33,0.89069,0.59663,0.88994,1,0.98256,0.99483,0.7373,0.95571,0.51473,0.94355,0.005545,0.005545,0.005545
47,2197.01,0.87723,0.59029,0.90772,1,0.9996,0.995,0.73006,1.01319,0.50709,0.97693,0.005446,0.005446,0.005446
48,2245.65,0.90054,0.59135,0.8532,1,0.98725,0.995,0.7117,1.05511,0.53547,0.96982,0.005347,0.005347,0.005347
49,2295.97,0.8694,0.5942,0.86885,0.98846,0.98305,0.99483,0.71293,0.98925,0.53326,0.94324,0.005248,0.005248,0.005248
50,2345.79,0.86403,0.5541,0.86735,0.98306,0.98347,0.99483,0.74677,0.92896,0.50626,0.93619,0.005149,0.005149,0.005149
51,2396.13,0.88165,0.58453,0.87906,1,0.98386,0.995,0.76943,0.90877,0.50984,0.93696,0.00505,0.00505,0.00505
52,2447.14,0.79937,0.5472,0.86462,0.98451,0.98305,0.99483,0.74164,0.95508,0.502,0.94377,0.004951,0.004951,0.004951
53,2498.62,0.82329,0.55482,0.87466,1,0.94908,0.99354,0.71123,1.00218,0.53684,0.95491,0.004852,0.004852,0.004852
54,2548.97,0.81722,0.55544,0.86685,1,0.98068,0.99467,0.73707,0.93733,0.53914,0.9445,0.004753,0.004753,0.004753
55,2598.94,0.81248,0.53791,0.86646,1,0.94816,0.99274,0.71972,0.98457,0.52304,0.93867,0.004654,0.004654,0.004654
56,2646.45,0.89539,0.55021,0.88269,0.9992,0.94915,0.99274,0.70733,1.06829,0.51338,0.95182,0.004555,0.004555,0.004555
57,2691.01,0.85349,0.53188,0.86952,1,0.96593,0.99452,0.71997,1.01748,0.52269,0.93627,0.004456,0.004456,0.004456
58,2736.62,0.78189,0.51118,0.84801,0.9952,0.98305,0.99467,0.75949,0.88805,0.49609,0.93238,0.004357,0.004357,0.004357
59,2780.88,0.83039,0.52864,0.86886,0.99363,0.98305,0.99437,0.76783,0.87415,0.49893,0.92778,0.004258,0.004258,0.004258
60,2826.15,0.7775,0.51007,0.8642,0.99468,0.98305,0.99381,0.74153,0.96655,0.49648,0.93847,0.004159,0.004159,0.004159
61,2871.76,0.81307,0.52523,0.87719,0.99586,0.98305,0.99422,0.73511,0.94346,0.49188,0.93407,0.00406,0.00406,0.00406
62,2922.94,0.78717,0.50389,0.87346,0.99593,0.98305,0.99408,0.74494,0.94852,0.48951,0.92089,0.003961,0.003961,0.003961
63,2973.42,0.7554,0.5202,0.87275,0.99511,0.98305,0.99408,0.74332,0.97248,0.50469,0.92922,0.003862,0.003862,0.003862
